,pair1_path,pair2_path,result
0,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Abel_Pacheco_0001.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Abel_Pacheco_0004.jpg,1
1,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Akhmed_Zakayev_0001.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Akhmed_Zakayev_0003.jpg,1
2,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Akhmed_Zakayev_0002.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Akhmed_Zakayev_0003.jpg,1
3,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Amber_Tamblyn_0001.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Amber_Tamblyn_0002.jpg,1
4,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Anders_Fogh_Rasmussen_0001.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Anders_Fogh_Rasmussen_0003.jpg,1
5,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Anders_Fogh_Rasmussen_0001.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Anders_Fogh_Rasmussen_0004.jpg,1
6,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Angela_Bassett_0001.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Angela_Bassett_0005.jpg,1
7,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Angela_Bassett_0002.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Angela_Bassett_0005.jpg,1
8,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Angela_Bassett_0003.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Angela_Bassett_0004.jpg,1
9,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Ann_Veneman_0003.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Ann_Veneman_0005.jpg,1
10,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Ann_Veneman_0006.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Ann_Veneman_0010.jpg,1
11,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Ann_Veneman_0010.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Ann_Veneman_0011.jpg,1
12,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Anthony_Fauci_0001.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Anthony_Fauci_0002.jpg,1
13,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Antony_Leung_0001.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Antony_Leung_0002.jpg,1
14,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Antony_Leung_0002.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Antony_Leung_0003.jpg,1
15,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Anwar_Ibrahim_0001.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Anwar_Ibrahim_0002.jpg,1
